checking_account_status,duration,credit_history,purpose,amount,savings_account_status,employment_years,installment_rate,personal_status,other_debtors,present_residence,property,age,other_installment_plans,housing,number_of_credits,job,people_liable,telephone,foreign_worker,full_repaid
below_0,6,existing_credit_paid,radio_TV,2647,between_500_1000,between_1_4,2,M_single,None,3,real_estate ,44,None,rent,1,official,2,0,1,1
below_0,10,critical_account,car_new,2241,below_100,below_1,1,M_single,None,3,real_estate ,48,None,rent,2,unskilled,2,0,0,1
0_to_200,12,critical_account,car_used,1804,between_100_500,below_1,3,M_single,None,4,life_insurance  ,44,None,own,1,official,1,0,1,1
no_account,10,critical_account,furniture_equipment,2069,unknown,between_1_4,2,M_divorced,None,1,other,26,None,own,2,official,1,0,0,1
below_0,6,existing_credit_paid,furniture_equipment,1374,below_100,between_1_4,1,M_single,None,2,real_estate ,36,bank,own,1,unskilled,1,1,1,1
no_account,6,no_credit_taken,radio_TV,426,below_100,above_7,4,M_divorced,None,4,other,39,None,own,1,unskilled,1,0,1,1
above_200,12,all_credit_paid,radio_TV,409,above_1000,between_1_4,3,F_not_single,None,3,real_estate ,42,None,rent,2,official,1,0,1,1
0_to_200,7,existing_credit_paid,radio_TV,2415,below_100,between_1_4,3,M_single,guarantor,2,real_estate ,34,None,own,1,official,1,0,1,1
below_0,60,delay_in_paying,business,6836,below_100,above_7,3,M_single,None,4,no_property,63,None,own,2,official,1,1,1,0
0_to_200,18,existing_credit_paid,business,1913,above_1000,below_1,3,M_divorced,None,3,real_estate ,36,bank,own,1,official,1,1,1,1
below_0,24,existing_credit_paid,furniture_equipment,4020,below_100,between_1_4,2,M_single,None,2,other,27,stores,own,1,official,1,0,1,1
0_to_200,18,existing_credit_paid,car_new,5866,between_100_500,between_1_4,2,M_single,None,2,other,30,None,own,2,official,1,1,1,1
no_account,12,critical_account,business,1264,unknown,above_7,4,M_single,None,4,no_property,57,None,rent,1,unskilled,1,0,1,1
above_200,12,existing_credit_paid,furniture_equipment,1474,below_100,below_1,4,F_not_single,None,1,life_insurance  ,33,bank,own,1,management,1,1,1,1
0_to_200,45,critical_account,radio_TV,4746,below_100,below_1,4,M_single,None,2,life_insurance  ,25,None,own,2,unskilled,1,0,1,0
no_account,48,critical_account,education,6110,below_100,between_1_4,1,M_single,None,3,no_property,31,bank,free,1,official,1,1,1,1
above_200,18,existing_credit_paid,radio_TV,2100,below_100,between_1_4,4,M_single,co_applicant ,2,real_estate ,37,stores,own,1,official,1,0,1,0
above_200,10,existing_credit_paid,domestic_appliances,1225,below_100,between_1_4,2,M_single,None,2,other,37,None,own,1,official,1,1,1,1
0_to_200,9,existing_credit_paid,radio_TV,458,below_100,between_1_4,4,M_single,None,3,real_estate ,24,None,own,1,official,1,0,1,1
no_account,30,existing_credit_paid,radio_TV,2333,between_500_1000,above_7,4,M_single,None,2,other,30,bank,own,1,management,1,0,1,1
0_to_200,12,existing_credit_paid,radio_TV,1158,between_500_1000,between_1_4,3,M_divorced,None,1,other,26,None,own,1,official,1,1,1,1
0_to_200,18,delay_in_paying,repairs,6204,below_100,between_1_4,2,M_single,None,4,real_estate ,44,None,own,1,unskilled,2,1,1,1
below_0,30,critical_account,car_used,6187,between_100_500,between_4_7,1,M_divorced,None,4,other,24,None,rent,2,official,1,0,1,1
below_0,48,critical_account,car_used,6143,below_100,above_7,4,F_not_single,None,4,no_property,58,stores,free,2,unskilled,1,0,1,0
no_account,11,critical_account,car_new,1393,below_100,below_1,4,F_not_single,None,4,other,35,None,own,2,management,1,0,1,1
no_account,36,existing_credit_paid,radio_TV,2299,between_500_1000,above_7,4,M_single,None,4,other,39,None,own,1,official,1,0,1,1
below_0,6,existing_credit_paid,car_used,1352,between_500_1000,unemployed,1,F_not_single,None,2,life_insurance  ,23,None,rent,1,unemployed,1,1,1,1
no_account,11,critical_account,car_new,7228,below_100,between_1_4,1,M_single,None,4,life_insurance  ,39,None,own,2,unskilled,1,0,1,1
no_account,12,existing_credit_paid,radio_TV,2073,between_100_500,between_1_4,4,F_not_single,co_applicant ,2,real_estate ,28,None,own,1,official,1,0,1,1
0_to_200,24,delay_in_paying,furniture_equipment,2333,unknown,below_1,4,M_single,None,2,life_insurance  ,29,bank,own,1,unskilled,1,0,1,1
0_to_200,27,delay_in_paying,car_used,5965,below_100,above_7,1,M_single,None,2,other,30,None,own,2,management,1,1,1,1
no_account,12,existing_credit_paid,radio_TV,1262,below_100,between_1_4,3,M_single,None,2,other,25,None,own,1,official,1,0,1,1
no_account,18,existing_credit_paid,car_used,3378,unknown,between_1_4,2,M_single,None,1,life_insurance  ,31,None,own,1,official,1,1,1,1
0_to_200,36,delay_in_paying,car_new,2225,below_100,above_7,4,M_single,None,4,no_property,57,bank,free,2,official,1,1,1,0
no_account,6,all_credit_paid,car_new,783,unknown,between_1_4,1,M_single,guarantor,2,real_estate ,26,stores,own,1,unskilled,2,0,1,1
0_to_200,12,existing_credit_paid,radio_TV,6468,unknown,unemployed,2,M_single,None,1,no_property,52,None,own,1,management,1,1,1,0
no_account,36,critical_account,radio_TV,9566,below_100,between_1_4,2,F_not_single,None,2,other,31,stores,own,2,official,1,0,1,1
above_200,18,existing_credit_paid,car_new,1961,below_100,above_7,3,F_not_single,None,2,other,23,None,own,1,management,1,0,1,1
below_0,36,critical_account,furniture_equipment,6229,below_100,below_1,4,F_not_single,co_applicant ,4,no_property,23,None,rent,2,unskilled,1,1,1,0
0_to_200,9,existing_credit_paid,business,1391,below_100,between_1_4,2,M_divorced,None,1,real_estate ,27,bank,own,1,official,1,1,1,1
0_to_200,15,critical_account,radio_TV,1537,unknown,above_7,4,M_single,guarantor,4,real_estate ,50,None,own,2,official,1,1,1,1
0_to_200,36,no_credit_taken,business,1953,below_100,above_7,4,M_single,None,4,no_property,61,None,free,1,management,1,1,1,0
0_to_200,48,no_credit_taken,business,14421,below_100,between_1_4,2,M_single,None,2,other,25,None,own,1,official,1,1,1,0
no_account,24,existing_credit_paid,radio_TV,3181,below_100,below_1,4,F_not_single,None,4,life_insurance  ,26,None,own,1,official,1,1,1,1
no_account,27,existing_credit_paid,repairs,5190,unknown,above_7,4,M_single,None,4,life_insurance  ,48,None,own,4,official,2,1,1,1
no_account,12,existing_credit_paid,radio_TV,2171,below_100,below_1,2,F_not_single,None,2,other,29,bank,own,1,official,1,0,1,1
0_to_200,12,existing_credit_paid,car_new,1007,above_1000,between_1_4,4,M_divorced,None,1,real_estate ,22,None,own,1,official,1,0,1,1
no_account,36,existing_credit_paid,education,1819,below_100,between_1_4,4,M_single,None,4,no_property,37,stores,free,1,official,1,1,1,0
no_account,36,existing_credit_paid,radio_TV,2394,unknown,between_1_4,4,F_not_single,None,4,other,25,None,own,1,official,1,0,1,1
no_account,36,existing_credit_paid,car_used,8133,below_100,between_1_4,1,F_not_single,None,2,life_insurance  ,30,bank,own,1,official,1,0,1,1
no_account,7,critical_account,radio_TV,730,unknown,above_7,4,M_single,None,2,life_insurance  ,46,None,rent,2,unskilled,1,1,1,1
below_0,8,critical_account,others,1164,below_100,above_7,3,M_single,None,4,no_property,51,bank,free,2,management,2,1,1,1
0_to_200,42,critical_account,business,5954,below_100,between_4_7,2,F_not_single,None,1,real_estate ,41,bank,own,2,unskilled,1,0,1,1
below_0,36,existing_credit_paid,education,1977,unknown,above_7,4,M_single,None,4,no_property,40,None,own,1,management,1,1,1,0
below_0,12,critical_account,car_used,1526,below_100,above_7,4,M_single,None,4,no_property,66,None,free,2,management,1,0,1,1
below_0,42,existing_credit_paid,radio_TV,3965,below_100,below_1,4,M_single,None,3,other,34,None,own,1,official,1,0,1,0
0_to_200,11,delay_in_paying,radio_TV,4771,below_100,between_4_7,2,M_single,None,4,life_insurance  ,51,None,own,1,official,1,0,1,1
no_account,54,no_credit_taken,car_used,9436,unknown,between_1_4,2,M_single,None,2,life_insurance  ,39,None,own,1,unskilled,2,0,1,1
0_to_200,30,existing_credit_paid,furniture_equipment,3832,below_100,below_1,2,M_divorced,None,1,life_insurance  ,22,None,own,1,official,1,0,1,1
no_account,24,existing_credit_paid,radio_TV,5943,unknown,below_1,1,F_not_single,None,1,other,44,None,own,2,official,1,1,1,0
no_account,15,existing_credit_paid,radio_TV,1213,between_500_1000,above_7,4,M_single,None,3,life_insurance  ,47,stores,own,1,official,1,1,1,1
no_account,18,existing_credit_paid,business,1568,between_100_500,between_1_4,3,F_not_single,None,4,life_insurance  ,24,None,rent,1,unskilled,1,0,1,1
below_0,24,existing_credit_paid,others,1755,below_100,above_7,4,F_not_single,guarantor,4,real_estate ,58,None,own,1,unskilled,1,1,1,1
below_0,10,existing_credit_paid,radio_TV,2315,below_100,above_7,3,M_single,None,4,real_estate ,52,None,own,1,unskilled,1,0,1,1
no_account,12,critical_account,business,1412,below_100,between_1_4,4,F_not_single,guarantor,2,real_estate ,29,None,own,2,management,1,1,1,1
0_to_200,18,critical_account,furniture_equipment,1295,below_100,below_1,4,F_not_single,None,1,life_insurance  ,27,None,own,2,official,1,0,1,1
0_to_200,36,existing_credit_paid,education,12612,between_100_500,between_1_4,1,M_single,None,4,no_property,47,None,free,1,official,2,1,1,0
below_0,18,existing_credit_paid,car_new,2249,between_100_500,between_4_7,4,M_single,None,3,other,30,None,own,1,management,2,1,1,1
below_0,12,no_credit_taken,repairs,1108,below_100,between_4_7,4,M_single,None,3,real_estate ,28,None,own,2,official,1,0,1,0
no_account,12,critical_account,radio_TV,618,below_100,above_7,4,M_single,None,4,real_estate ,56,None,own,1,official,1,0,1,1
below_0,12,critical_account,car_used,1409,below_100,above_7,4,M_single,None,3,real_estate ,54,None,own,1,official,1,0,1,1
no_account,12,critical_account,radio_TV,797,unknown,above_7,4,F_not_single,None,3,life_insurance  ,33,bank,own,1,unskilled,2,0,1,0
above_200,24,critical_account,furniture_equipment,3617,unknown,above_7,4,M_single,co_applicant ,4,no_property,20,None,rent,2,official,1,0,1,1
0_to_200,12,existing_credit_paid,car_new,1318,above_1000,above_7,4,M_single,None,4,real_estate ,54,None,own,1,official,1,1,1,1
0_to_200,54,no_credit_taken,business,15945,below_100,below_1,3,M_single,None,4,no_property,58,None,rent,1,official,1,1,1,0
no_account,12,critical_account,education,2012,unknown,between_4_7,4,F_not_single,None,2,other,61,None,own,1,official,1,0,1,1
0_to_200,18,existing_credit_paid,business,2622,between_100_500,between_1_4,4,M_single,None,4,other,34,None,own,1,official,1,0,1,1
0_to_200,36,critical_account,radio_TV,2337,below_100,above_7,4,M_single,None,4,real_estate ,36,None,own,1,official,1,0,1,1
0_to_200,20,delay_in_paying,car_used,7057,unknown,between_4_7,3,M_single,None,4,life_insurance  ,36,bank,rent,2,management,2,1,1,1
no_account,24,existing_credit_paid,car_new,1469,between_100_500,above_7,4,M_divorced,None,4,real_estate ,41,None,rent,1,unskilled,1,0,1,1
0_to_200,36,existing_credit_paid,radio_TV,2323,below_100,between_4_7,4,M_single,None,4,other,24,None,rent,1,official,1,0,1,1
no_account,6,delay_in_paying,radio_TV,932,below_100,between_1_4,3,F_not_single,None,2,real_estate ,24,None,own,1,official,1,0,1,1
0_to_200,9,critical_account,furniture_equipment,1919,below_100,between_4_7,4,M_single,None,3,other,35,None,rent,1,official,1,1,1,1
no_account,12,existing_credit_paid,car_used,2445,unknown,below_1,2,M_divorced,None,4,other,26,None,rent,1,official,1,1,1,1
0_to_200,24,critical_account,others,11938,below_100,between_1_4,2,M_single,co_applicant ,3,other,39,None,own,2,management,2,1,1,0
no_account,18,all_credit_paid,car_new,6458,below_100,above_7,2,M_single,None,4,no_property,39,bank,own,2,management,2,1,1,0
0_to_200,12,existing_credit_paid,car_new,6078,below_100,between_4_7,2,M_single,None,2,other,32,None,own,1,official,1,0,1,1
below_0,24,existing_credit_paid,furniture_equipment,7721,unknown,below_1,1,F_not_single,None,2,life_insurance  ,30,None,own,1,official,1,1,0,1
0_to_200,14,existing_credit_paid,business,1410,between_500_1000,above_7,1,M_divorced,None,2,real_estate ,35,None,own,1,official,1,1,1,1
0_to_200,6,delay_in_paying,business,1449,between_100_500,above_7,1,M_divorced,None,2,other,31,bank,own,2,official,2,0,1,1
above_200,15,existing_credit_paid,education,392,below_100,below_1,4,F_not_single,None,4,life_insurance  ,23,None,rent,1,official,1,1,1,1
0_to_200,18,existing_credit_paid,car_new,6260,below_100,between_4_7,3,M_single,None,3,real_estate ,28,None,rent,1,unskilled,1,0,1,1
no_account,36,critical_account,car_new,7855,below_100,between_1_4,4,F_not_single,None,2,real_estate ,25,stores,own,2,official,1,1,1,0
below_0,12,existing_credit_paid,radio_TV,1680,between_500_1000,above_7,3,M_divorced,None,1,real_estate ,35,None,own,1,official,1,0,1,1
no_account,48,critical_account,radio_TV,3578,unknown,above_7,4,M_single,None,1,real_estate ,47,None,own,1,official,1,1,1,1
below_0,42,existing_credit_paid,radio_TV,7174,unknown,between_4_7,4,F_not_single,None,3,other,30,None,own,1,management,1,1,1,0
below_0,10,critical_account,furniture_equipment,2132,unknown,below_1,2,F_not_single,co_applicant ,3,real_estate ,27,None,rent,2,official,1,0,0,1
below_0,33,critical_account,furniture_equipment,4281,between_500_1000,between_1_4,1,F_not_single,None,4,other,23,None,own,2,official,1,0,1,0
0_to_200,12,critical_account,car_new,2366,between_500_1000,between_4_7,3,M_divorced,None,3,other,36,None,own,1,management,1,1,1,1
below_0,21,existing_credit_paid,radio_TV,1835,below_100,between_1_4,3,F_not_single,None,2,real_estate ,25,None,own,2,official,1,1,1,0
no_account,24,critical_account,car_used,3868,below_100,above_7,4,F_not_single,None,2,other,41,None,rent,2,management,1,1,1,1
no_account,12,existing_credit_paid,furniture_equipment,1768,below_100,between_1_4,3,M_single,None,2,real_estate ,24,None,rent,1,unskilled,1,0,1,1
above_200,10,critical_account,car_new,781,below_100,above_7,4,M_single,None,4,no_property,63,None,free,2,official,1,1,1,1
0_to_200,18,existing_credit_paid,furniture_equipment,1924,unknown,below_1,4,F_not_single,None,3,real_estate ,27,None,rent,1,official,1,0,1,0
below_0,12,critical_account,car_new,2121,below_100,between_1_4,4,M_single,None,2,life_insurance  ,30,None,own,2,official,1,0,1,1
below_0,12,existing_credit_paid,radio_TV,701,below_100,between_1_4,4,M_divorced,None,2,real_estate ,40,None,own,1,unskilled,1,0,1,1
0_to_200,12,existing_credit_paid,repairs,639,below_100,between_1_4,4,M_single,None,2,other,30,None,own,1,official,1,0,1,0
0_to_200,12,critical_account,car_used,1860,below_100,unemployed,4,M_single,None,2,other,34,None,own,2,management,1,1,1,1
below_0,12,critical_account,car_new,3499,below_100,between_1_4,3,F_not_single,co_applicant ,2,real_estate ,29,None,own,2,official,1,0,1,0
0_to_200,48,existing_credit_paid,car_new,8487,unknown,between_4_7,1,F_not_single,None,2,other,24,None,own,1,official,1,0,1,1
below_0,36,delay_in_paying,education,6887,below_100,between_1_4,4,M_single,None,3,life_insurance  ,29,stores,own,1,official,1,1,1,0
no_account,15,existing_credit_paid,furniture_equipment,2708,below_100,below_1,2,M_single,None,3,life_insurance  ,27,bank,own,2,unskilled,1,0,1,1
no_account,18,existing_credit_paid,furniture_equipment,1984,below_100,between_1_4,4,M_single,None,4,no_property,47,bank,free,2,official,1,0,1,1
no_account,60,existing_credit_paid,radio_TV,10144,between_100_500,between_4_7,2,F_not_single,None,4,real_estate ,21,None,own,1,official,1,1,1,1
no_account,12,critical_account,radio_TV,1240,unknown,above_7,4,F_not_single,None,2,real_estate ,38,None,own,2,official,1,1,1,1
no_account,27,delay_in_paying,car_used,8613,above_1000,between_1_4,2,M_single,None,2,other,27,None,own,2,official,1,0,1,1
0_to_200,12,existing_credit_paid,radio_TV,766,between_500_1000,between_1_4,4,M_single,None,3,real_estate ,66,None,own,1,unskilled,1,0,1,0
0_to_200,15,critical_account,radio_TV,2728,unknown,between_4_7,4,M_single,guarantor,2,real_estate ,35,bank,own,3,official,1,1,1,1
above_200,12,existing_credit_paid,radio_TV,1881,below_100,between_1_4,2,F_not_single,None,2,other,44,None,rent,1,unskilled,1,1,1,1
above_200,6,existing_credit_paid,car_new,709,above_1000,below_1,2,M_divorced,None,2,real_estate ,27,None,own,1,unemployed,1,0,0,1
0_to_200,36,existing_credit_paid,radio_TV,4795,below_100,below_1,4,F_not_single,None,1,no_property,30,None,own,1,management,1,1,1,1
below_0,27,existing_credit_paid,radio_TV,3416,below_100,between_1_4,3,M_single,None,2,other,27,None,own,1,management,1,0,1,1
below_0,18,existing_credit_paid,furniture_equipment,2462,below_100,between_1_4,2,M_single,None,2,other,22,None,own,1,official,1,0,1,0
no_account,21,critical_account,furniture_equipment,2288,below_100,below_1,4,F_not_single,None,4,life_insurance  ,23,None,own,1,official,1,1,1,1
0_to_200,48,all_credit_paid,business,3566,between_100_500,between_4_7,4,M_single,None,2,other,30,None,own,1,official,1,0,1,1
below_0,6,critical_account,car_new,860,below_100,above_7,1,F_not_single,None,4,no_property,39,None,own,2,official,1,1,1,1
no_account,12,critical_account,car_new,682,between_100_500,between_4_7,4,F_not_single,None,3,other,51,None,own,2,official,1,1,1,1
below_0,36,critical_account,furniture_equipment,5371,below_100,between_1_4,3,M_single,guarantor,2,life_insurance  ,28,None,own,2,official,1,0,1,1
no_account,18,critical_account,radio_TV,1582,above_1000,above_7,4,M_single,None,4,other,46,None,own,2,official,1,0,1,1
no_account,6,existing_credit_paid,radio_TV,1346,between_100_500,above_7,2,M_single,None,4,no_property,42,bank,free,1,official,2,1,1,1
no_account,10,existing_credit_paid,radio_TV,1924,below_100,between_1_4,1,M_single,None,4,life_insurance  ,38,None,own,1,official,1,1,0,1
above_200,36,existing_credit_paid,radio_TV,5848,below_100,between_1_4,4,M_single,None,1,other,24,None,own,1,official,1,0,1,1
0_to_200,24,critical_account,car_used,7758,above_1000,above_7,2,F_not_single,None,4,no_property,29,None,rent,1,official,1,0,1,1
0_to_200,24,delay_in_paying,business,6967,between_100_500,between_4_7,4,M_single,None,4,other,36,None,rent,1,management,1,1,1,1
below_0,12,existing_credit_paid,furniture_equipment,1282,below_100,between_1_4,2,F_not_single,None,4,other,20,None,rent,1,official,1,0,1,0
below_0,9,critical_account,repairs,1288,between_100_500,above_7,3,M_single,guarantor,4,real_estate ,48,None,own,2,official,2,0,0,1
below_0,12,all_credit_paid,retraining,339,below_100,above_7,4,M_divorced,None,1,other,45,bank,own,1,unskilled,1,0,1,1
0_to_200,24,existing_credit_paid,car_new,3512,between_100_500,between_4_7,2,M_single,None,3,other,38,bank,own,2,official,1,1,1,1
no_account,6,critical_account,radio_TV,1898,unknown,between_1_4,1,M_single,None,2,real_estate ,34,None,own,2,unskilled,2,0,1,1
no_account,24,critical_account,radio_TV,2872,between_100_500,above_7,3,M_single,None,4,real_estate ,36,None,own,1,official,2,1,1,1
no_account,18,critical_account,car_new,1055,below_100,below_1,4,F_not_single,None,1,life_insurance  ,30,None,own,2,official,1,0,1,1
no_account,15,existing_credit_paid,domestic_appliances,1262,between_500_1000,between_4_7,4,M_single,None,3,life_insurance  ,36,None,own,2,official,1,1,1,1
0_to_200,10,existing_credit_paid,car_new,7308,below_100,unemployed,2,M_single,None,4,no_property,70,bank,free,1,management,1,1,1,1
no_account,36,existing_credit_paid,car_new,909,between_500_1000,above_7,4,M_single,None,4,life_insurance  ,36,None,own,1,official,1,0,1,1
no_account,6,existing_credit_paid,furniture_equipment,2978,between_500_1000,between_1_4,1,M_single,None,2,other,32,None,own,1,official,1,1,1,1
below_0,18,existing_credit_paid,furniture_equipment,1131,below_100,unemployed,4,F_not_single,None,2,other,33,None,own,1,official,1,0,1,0
0_to_200,11,existing_credit_paid,furniture_equipment,1577,above_1000,below_1,4,F_not_single,None,1,real_estate ,20,None,own,1,official,1,0,1,1
no_account,24,existing_credit_paid,furniture_equipment,3972,below_100,between_4_7,2,F_not_single,None,4,life_insurance  ,25,None,rent,1,official,1,1,1,1
0_to_200,24,critical_account,business,1935,below_100,above_7,4,M_divorced,None,4,real_estate ,31,None,own,2,official,1,1,1,0
below_0,15,no_credit_taken,car_new,950,below_100,above_7,4,M_single,None,3,other,33,None,rent,2,official,2,0,1,0
no_account,12,existing_credit_paid,furniture_equipment,763,below_100,between_1_4,4,F_not_single,None,1,real_estate ,26,None,own,1,official,1,1,1,1
0_to_200,24,delay_in_paying,furniture_equipment,2064,below_100,unemployed,3,F_not_single,None,2,life_insurance  ,34,None,own,1,management,1,1,1,0
0_to_200,8,existing_credit_paid,radio_TV,1414,below_100,between_1_4,4,M_single,guarantor,2,real_estate ,33,None,own,1,official,1,0,0,1
below_0,21,delay_in_paying,education,3414,below_100,below_1,2,M_single,None,1,life_insurance  ,26,None,own,2,official,1,0,1,0
no_account,30,all_credit_paid,car_used,7485,unknown,unemployed,4,F_not_single,None,1,real_estate ,53,bank,own,1,management,1,1,1,0
below_0,12,existing_credit_paid,furniture_equipment,2577,below_100,between_1_4,2,M_divorced,None,1,other,42,None,own,1,official,1,0,1,1
below_0,6,critical_account,radio_TV,338,between_500_1000,above_7,4,M_single,None,4,other,52,None,own,2,official,1,0,1,1
no_account,12,existing_credit_paid,radio_TV,1963,below_100,between_4_7,4,M_single,None,2,other,31,None,rent,2,management,2,1,1,1
below_0,21,critical_account,car_new,571,below_100,above_7,4,M_single,None,4,real_estate ,65,None,own,2,official,1,0,1,1
no_account,36,delay_in_paying,business,9572,below_100,below_1,1,M_divorced,None,1,other,28,None,own,2,official,1,0,1,0
0_to_200,36,delay_in_paying,business,4455,below_100,between_1_4,2,M_divorced,None,2,real_estate ,30,stores,own,2,management,1,1,1,0
below_0,21,all_credit_paid,car_new,1647,unknown,between_1_4,4,M_single,None,2,life_insurance  ,40,None,own,2,unskilled,2,0,1,0
no_account,24,critical_account,furniture_equipment,3777,above_1000,between_1_4,4,M_single,None,4,real_estate ,50,None,own,1,official,1,1,1,1
0_to_200,18,critical_account,car_new,884,below_100,above_7,4,M_single,None,4,other,36,bank,own,1,official,2,1,1,0
no_account,15,critical_account,radio_TV,1360,below_100,between_1_4,4,M_single,None,2,life_insurance  ,31,None,own,2,official,1,0,1,1
0_to_200,9,all_credit_paid,car_used,5129,below_100,above_7,2,F_not_single,None,4,no_property,74,bank,free,1,management,2,1,1,0
0_to_200,16,critical_account,car_new,1175,below_100,unemployed,2,M_single,None,3,other,68,None,free,3,unemployed,1,1,1,1
below_0,12,existing_credit_paid,radio_TV,674,between_100_500,between_4_7,4,M_divorced,None,1,life_insurance  ,20,None,own,1,official,1,0,1,0
0_to_200,18,no_credit_taken,furniture_equipment,3244,below_100,between_1_4,1,F_not_single,None,4,other,33,bank,own,2,official,1,1,1,1
no_account,24,existing_credit_paid,business,4591,above_1000,between_1_4,2,M_single,None,3,life_insurance  ,54,None,own,3,management,1,1,1,0
0_to_200,48,no_credit_taken,business,3844,between_100_500,between_4_7,4,M_single,None,4,no_property,34,None,free,1,unskilled,2,0,1,0
0_to_200,27,existing_credit_paid,business,3915,below_100,between_1_4,4,M_single,None,2,other,36,None,own,1,official,2,1,1,0
no_account,6,existing_credit_paid,radio_TV,2108,below_100,between_4_7,2,M_divorced,None,2,real_estate ,29,None,rent,1,official,1,0,1,1
0_to_200,45,existing_credit_paid,radio_TV,3031,between_100_500,between_1_4,4,M_single,guarantor,4,life_insurance  ,21,None,rent,1,official,1,0,1,0
0_to_200,9,critical_account,education,1501,below_100,above_7,2,F_not_single,None,3,other,34,None,own,2,management,1,1,1,0
no_account,6,critical_account,radio_TV,1382,below_100,between_1_4,1,F_not_single,None,1,other,28,None,own,2,official,1,1,1,1
0_to_200,12,existing_credit_paid,furniture_equipment,951,between_100_500,below_1,4,F_not_single,None,4,other,27,bank,rent,4,official,1,0,1,0
0_to_200,24,existing_credit_paid,car_used,2760,unknown,above_7,4,M_single,None,4,no_property,36,bank,free,1,official,1,1,1,1
0_to_200,18,delay_in_paying,furniture_equipment,4297,below_100,above_7,4,M_divorced,None,3,no_property,40,None,own,1,management,1,1,1,0
no_account,9,critical_account,education,936,between_500_1000,above_7,4,M_single,None,2,other,52,None,own,2,official,1,1,1,1
below_0,12,existing_credit_paid,car_new,1168,below_100,between_1_4,4,M_divorced,None,3,real_estate ,27,None,own,1,unskilled,1,0,1,1
no_account,27,delay_in_paying,business,5117,below_100,between_4_7,3,M_single,None,4,other,26,None,own,2,official,1,0,1,1
below_0,12,existing_credit_paid,retraining,902,below_100,between_4_7,4,M_divorced,None,4,life_insurance  ,21,None,rent,1,official,1,0,1,0
no_account,12,critical_account,car_new,1495,below_100,above_7,4,M_single,None,1,real_estate ,38,None,own,2,unskilled,2,0,1,1
below_0,30,critical_account,car_used,10623,below_100,above_7,3,M_single,None,4,no_property,38,None,free,3,management,2,1,1,1
no_account,12,critical_account,furniture_equipment,1935,below_100,above_7,4,M_single,None,4,real_estate ,43,None,own,3,official,1,1,1,1
